Date,Spot
02/23/2026,2.8856
03/23/2026,2.8855
04/22/2026,2.8885
05/22/2026,2.8905
06/22/2026,2.8935
07/22/2026,2.8955
08/24/2026,2.8986
09/22/2026,2.9014
10/22/2026,2.9034
11/23/2026,2.9063
12/22/2026,2.9082
01/22/2027,2.911
02/22/2027,2.9139
03/22/2027,2.9137
04/22/2027,2.9165
05/24/2027,2.9184
06/22/2027,2.921
07/22/2027,2.9228
08/23/2027,2.9255
09/22/2027,2.9281
10/22/2027,2.9298
11/22/2027,2.9324
12/22/2027,2.9341
01/24/2028,2.9368
02/22/2028,2.9392
03/22/2028,2.9399
04/24/2028,2.9425
05/22/2028,2.9439
06/22/2028,2.9464
07/24/2028,2.948
08/22/2028,2.9503
09/22/2028,2.9526
10/23/2028,2.9541
11/22/2028,2.9564
12/22/2028,2.9579
01/22/2029,2.9601
02/22/2029,2.9624
03/22/2029,2.9623
04/23/2029,2.9646
05/22/2029,2.966
06/22/2029,2.9683
07/23/2029,2.9698
08/22/2029,2.9719
09/24/2029,2.9742
10/22/2029,2.9755
11/23/2029,2.9777
12/24/2029,2.9792
01/22/2030,2.9812
02/22/2030,2.9833
03/22/2030,2.9828
04/23/2030,2.9845
05/22/2030,2.9854
06/24/2030,2.9871
07/22/2030,2.988
08/22/2030,2.9896
09/23/2030,2.9912
10/22/2030,2.9921
11/22/2030,2.9936
12/23/2030,2.9945
01/22/2031,2.9961
02/24/2031,2.9976
03/24/2031,2.9971
04/22/2031,2.9986
05/22/2031,2.9994
06/23/2031,3.0009
07/22/2031,3.0017
08/22/2031,3.0031
09/22/2031,3.0046
10/22/2031,3.0054
11/24/2031,3.0068
12/22/2031,3.0075
01/22/2032,3.0089
02/23/2032,3.0103
03/22/2032,3.0104
04/22/2032,3.0117
05/24/2032,3.0125
06/22/2032,3.0137
07/22/2032,3.0144
08/23/2032,3.0157
09/22/2032,3.017
10/22/2032,3.0177
11/22/2032,3.0189
12/22/2032,3.0196
01/24/2033,3.0208
02/22/2033,3.022
03/22/2033,3.0212
04/22/2033,3.0222
05/23/2033,3.0226
06/22/2033,3.0235
07/22/2033,3.0238
08/22/2033,3.0248
09/22/2033,3.0256
10/24/2033,3.026
11/22/2033,3.0269
12/22/2033,3.0272
01/23/2034,3.028
02/22/2034,3.0289
03/22/2034,3.0281
04/24/2034,3.0289
05/22/2034,3.0292
06/22/2034,3.03
07/24/2034,3.0303
08/22/2034,3.0311
09/22/2034,3.0318
10/24/2034,3.0318
11/22/2034,3.0318
12/22/2034,3.0318
01/23/2035,3.0318
02/22/2035,3.0318
03/22/2035,3.0318
04/24/2035,3.0318
05/22/2035,3.0318
06/22/2035,3.0318
07/24/2035,3.0318
08/22/2035,3.0318
09/22/2035,3.0318
10/24/2035,3.0318
11/22/2035,3.0318
12/22/2035,3.0318
01/23/2036,3.0318
02/22/2036,3.0318
03/22/2036,3.0318
04/24/2036,3.0318
05/22/2036,3.0318
06/22/2036,3.0318
07/24/2036,3.0318
08/22/2036,3.0318
09/22/2036,3.0318
10/24/2036,3.0318
11/22/2036,3.0318
12/22/2036,3.0318
01/23/2037,3.0318
02/22/2037,3.0318
03/22/2037,3.0318
04/24/2037,3.0318
05/22/2037,3.0318
06/22/2037,3.0318
07/24/2037,3.0318
08/22/2037,3.0318
09/22/2037,3.0318
10/24/2037,3.0318
11/22/2037,3.0318
12/22/2037,3.0318
01/23/2038,3.0318
02/22/2038,3.0318
03/22/2038,3.0318
04/24/2038,3.0318
05/22/2038,3.0318
06/22/2038,3.0318
07/24/2038,3.0318
08/22/2038,3.0318
09/22/2038,3.0318
10/24/2038,3.0318
11/22/2038,3.0318
12/22/2038,3.0318
01/23/2039,3.0318
02/22/2039,3.0318
03/22/2039,3.0318
04/24/2039,3.0318
05/22/2039,3.0318
06/22/2039,3.0318
07/24/2039,3.0318
08/22/2039,3.0318
09/22/2039,3.0318
10/24/2039,3.0318
11/22/2039,3.0318
12/22/2039,3.0318
01/23/2040,3.0318
02/22/2040,3.0318
03/22/2040,3.0318
04/24/2040,3.0318
05/22/2040,3.0318
06/22/2040,3.0318
07/24/2040,3.0318
08/22/2040,3.0318
09/22/2040,3.0318
10/24/2040,3.0318
11/22/2040,3.0318
12/22/2040,3.0318
01/23/2041,3.0318
02/22/2041,3.0318
03/22/2041,3.0318
04/24/2041,3.0318
05/22/2041,3.0318
06/22/2041,3.0318
07/24/2041,3.0318
08/22/2041,3.0318
09/22/2041,3.0318
10/24/2041,3.0318
11/22/2041,3.0318
12/22/2041,3.0318
01/23/2042,3.0318
02/22/2042,3.0318
03/22/2042,3.0318
04/24/2042,3.0318
05/22/2042,3.0318
06/22/2042,3.0318
07/24/2042,3.0318
08/22/2042,3.0318
09/22/2042,3.0318
10/24/2042,3.0318
11/22/2042,3.0318
12/22/2042,3.0318
01/23/2043,3.0318
02/22/2043,3.0318
03/22/2043,3.0318
04/24/2043,3.0318
05/22/2043,3.0318
06/22/2043,3.0318
07/24/2043,3.0318
08/22/2043,3.0318
09/22/2043,3.0318
10/24/2043,3.0318
11/22/2043,3.0318
12/22/2043,3.0318
01/23/2044,3.0318
02/22/2044,3.0318
03/22/2044,3.0318
04/24/2044,3.0318
05/22/2044,3.0318
06/22/2044,3.0318
07/24/2044,3.0318
08/22/2044,3.0318
09/22/2044,3.0318
10/24/2044,3.0318
11/22/2044,3.0318
12/22/2044,3.0318
01/23/2045,3.0318
02/22/2045,3.0318
03/22/2045,3.0318
04/24/2045,3.0318
05/22/2045,3.0318
06/22/2045,3.0318
07/24/2045,3.0318
08/22/2045,3.0318
09/22/2045,3.0318
10/24/2045,3.0318
11/22/2045,3.0318
12/22/2045,3.0318
01/23/2046,3.0318
02/22/2046,3.0318
03/22/2046,3.0318
04/24/2046,3.0318
05/22/2046,3.0318
06/22/2046,3.0318
07/24/2046,3.0318
08/22/2046,3.0318
09/22/2046,3.0318
10/24/2046,3.0318
11/22/2046,3.0318
12/22/2046,3.0318
01/23/2047,3.0318
02/22/2047,3.0318
03/22/2047,3.0318
04/24/2047,3.0318
05/22/2047,3.0318
06/22/2047,3.0318
07/24/2047,3.0318
08/22/2047,3.0318
09/22/2047,3.0318
10/24/2047,3.0318
11/22/2047,3.0318
12/22/2047,3.0318
01/23/2048,3.0318
02/22/2048,3.0318
03/22/2048,3.0318
04/24/2048,3.0318
